cpu_usage,memory_usage,latency,error_rate,outage
13.69,14.94,102.21,1.41,0
33.16,54.39,151.84,2.91,0
40.79,37.32,94.88,2.56,0
34.17,74.52,202.7,1.87,0
53.79,57.96,159.57,2.28,0
28.12,33.71,29.7,0.93,0
61.29,69.75,113.17,1.87,0
101.97,41.99,939.5,47.01,1
115.04,70.52,1309.3,17.0,1
34.08,68.36,77.11,1.06,0
13.87,37.87,175.43,1.18,0
34.09,57.3,110.68,2.63,0
57.18,4.59,158.87,2.55,0
48.21,71.94,76.04,2.05,0
38.58,54.8,157.0,3.06,0
35.48,69.97,122.4,1.86,0
49.45,41.38,176.82,0.73,0
8.3,63.24,82.9,3.41,0
54.72,24.0,109.55,1.05,0
58.27,60.36,150.83,2.7,0
23.85,61.56,132.15,2.31,0
40.73,48.29,81.46,1.38,0
39.54,47.78,59.61,2.05,0
50.19,53.68,87.84,0.75,0
22.84,71.33,136.41,1.35,0
41.02,39.98,175.23,-0.65,0
38.56,32.33,202.09,0.9,0
40.03,49.43,108.8,3.44,0
23.85,83.39,128.25,1.69,0
46.21,55.99,192.71,1.86,0
31.63,63.76,66.9,2.67,0
43.16,28.37,124.39,1.19,0
31.03,75.74,173.62,4.08,0
73.3,48.94,17.15,2.74,0
36.21,35.99,90.55,4.08,0
48.14,52.19,100.56,1.66,0
33.88,42.88,158.39,3.88,0
10.6,59.39,154.33,2.74,0
64.8,24.54,86.45,1.03,0
15.31,42.75,162.9,-0.4,0
15.32,43.17,121.86,0.25,0
37.91,35.72,79.23,4.05,0
60.1,55.54,115.76,1.82,0
35.66,80.96,171.89,2.01,0
19.26,36.99,85.76,2.34,0
68.71,54.46,128.52,2.24,0
36.88,52.17,121.92,2.37,0
23.24,64.41,164.84,3.18,0
38.71,35.88,154.32,2.78,0
16.71,46.06,100.49,1.1,0
25.13,86.17,107.88,2.48,0
33.04,73.49,98.17,3.07,0
47.2,70.42,142.24,2.01,0
30.65,48.9,67.49,2.74,0
19.13,44.84,157.58,3.19,0
39.07,58.98,159.19,3.79,0
45.45,58.44,95.61,3.24,0
28.88,20.51,43.95,2.55,0
23.92,14.9,79.32,3.42,0
44.18,60.74,125.0,3.98,0
20.1,45.53,24.9,2.31,0
32.44,58.6,144.22,2.38,0
27.78,41.76,89.75,0.6,0
30.26,48.26,86.61,1.82,0
54.28,41.45,168.91,2.15,0
32.19,64.25,32.46,1.39,0
85.34,123.22,2037.13,11.43,1
47.44,71.1,184.83,1.94,0
65.69,57.14,177.97,2.71,0
38.28,67.15,121.54,1.48,0
27.3,57.96,97.74,1.47,0
31.07,54.5,34.48,1.46,0
95.65,70.87,1392.23,16.89,1
53.33,36.3,72.67,1.73,0
20.5,8.37,160.68,2.77,0
23.43,55.44,126.9,0.97,0
44.36,70.96,128.66,3.9,0
23.46,93.65,123.98,1.63,1
103.88,59.15,1087.44,14.5,1
21.08,24.1,78.32,1.19,0
44.19,57.12,158.52,3.76,0
37.3,102.47,58.17,2.58,1
43.52,13.38,96.62,3.84,0
103.46,74.25,1756.69,13.76,1
72.27,144.43,1394.14,16.77,1
57.44,46.13,129.0,2.34,0
45.87,41.99,196.63,2.21,0
48.79,32.38,78.55,1.21,0
85.66,82.5,852.79,47.89,1
80.23,57.46,792.8,28.03,0
36.97,55.76,176.9,3.48,0
7.27,114.91,137.19,2.72,1
40.14,48.9,128.5,1.12,0
39.21,12.22,29.89,2.03,0
48.98,84.44,171.72,2.12,0
75.76,74.39,1281.5,49.93,1
27.29,47.13,90.47,0.97,0
45.22,38.57,68.51,0.42,0
53.55,57.0,121.16,2.2,0
30.37,48.95,123.48,1.82,0
27.3,26.42,79.35,1.59,0
55.63,61.69,135.04,2.38,0
116.95,98.3,705.71,17.13,1
40.96,41.79,100.88,2.66,0
33.22,58.54,54.7,3.16,0
29.29,42.48,175.99,1.68,0
101.49,80.29,1097.49,31.68,1
27.75,35.2,117.4,2.26,0
27.89,35.7,126.5,2.37,0
34.86,41.25,53.4,1.57,0
36.08,60.92,189.83,3.4,0
66.23,23.28,96.29,2.22,0
33.07,81.49,126.76,0.09,0
13.31,8.57,103.65,1.12,0
32.7,57.04,96.54,4.17,0
70.3,42.57,117.44,0.85,0
40.42,37.31,102.51,2.11,0
62.08,63.7,119.54,0.27,0
44.47,65.87,153.99,0.59,0
57.05,44.62,17.22,2.45,0
